date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:06	22206/22206	---M-Z	200	added ('OK')	text/html	etag:%2242ff94-56be-526c00b6fb5c0%22	http://www.ccs.neu.edu/home/kenb/db/topics.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/topics.html	(from )
15:52:07	19664/19664	---M-Z	200	added ('OK')	text/html	etag:%227a885b-4cd0-526c00b6fb5c0%22	http://www.ccs.neu.edu/home/kenb/db/examples.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples.html	(from )
15:52:07	241/241	---M-Z	403	error ('Forbidden')	text/html	date:Mon,%2014%20Dec%202015%2020:52:21%20GMT	http://www.ccs.neu.edu/robots.txt		(from )
15:52:07	6075/6075	---M-Z	200	added ('OK')	text/html	etag:%2256772c-17bb-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/044.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/044.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:07	3969/3969	---M-Z	200	added ('OK')	text/plain	etag:%22ba189f-f81-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/045.txt	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/045.txt	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:08	706/706	---M-Z	200	added ('OK')	text/html	etag:%22905672-2c2-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/056.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/056.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:08	5183/5183	---M--	200	added ('OK')	text/plain	etag:%2298c0be-143f-526c00b513140%22	http://www.ccs.neu.edu/home/kenb/db/examples/src/100.zargo	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/src/100.zargo	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:08	2605/2605	---M-Z	200	added ('OK')	text/html	etag:%2256772f-a2d-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/137.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/137.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:08	3856/3856	---M-Z	200	added ('OK')	text/html	etag:%223291f1-f10-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/262.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/262.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:09	1036/1036	---M-Z	200	added ('OK')	text/html	etag:%22567727-40c-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/270.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/270.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:09	4529/4529	---M-Z	200	added ('OK')	text/html	etag:%22a0c3b9-11b1-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/284.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/284.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:09	1273/1273	---M-Z	200	added ('OK')	text/html	etag:%223291f4-4f9-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/005.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/005.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
15:52:09	1573/1573	---M-Z	200	added ('OK')	text/html	etag:%223291ed-625-526c00b607380%22	http://www.ccs.neu.edu/home/kenb/db/examples/014.html	C:/Users/Hp/Desktop/DBMS/DB2/www.ccs.neu.edu/home/kenb/db/examples/014.html	(from http://www.ccs.neu.edu/home/kenb/db/topics.html)
